0,Yale_University_alumni 
1,American_films,Black-and-white_films 
2,The_Football_League_players 
3,Indian_films,Hindi-language_films 
4,Fellows_of_the_Royal_Society 
5,English-language_television_programming 
6,American_male_film_actors,American_male_television_actors 
7,Association_football_midfielders 
8,Fellows_of_the_Royal_Society 
9,English-language_television_programming 
10,Association_football_midfielders 
11,English-language_television_programming 
12,American_films,English-language_films 
13,Association_football_midfielders 
14,English-language_television_programming 
15,Harvard_University_alumni 
16,Association_football_forwards 
17,English-language_television_programming 
18,Association_football_goalkeepers 
19,Association_football_forwards,The_Football_League_players,English_footballers 
20,English_cricketers 
21,Indian_films,Hindi-language_films 
22,The_Football_League_players,English_footballers 
23,Major_League_Baseball_pitchers 
24,American_male_film_actors 
25,English-language_films 
26,English-language_films 
27,English-language_television_programming 
28,American_drama_films 
29,American_films,American_drama_films 
30,Association_football_defenders 
31,American_male_film_actors,American_male_television_actors 
32,English-language_films 
33,Arctiidae 
34,Arctiidae 
35,Arctiidae 
36,Arctiidae 
37,Arctiidae 
38,Arctiidae 
39,Arctiidae 
40,Arctiidae 
41,Arctiidae 
42,Arctiidae 
43,Arctiidae 
44,Arctiidae 
45,Arctiidae 
46,Arctiidae 
47,Arctiidae 
48,Arctiidae 
49,Arctiidae 
50,Arctiidae 
51,Arctiidae 
52,Arctiidae 
53,Arctiidae 
54,Arctiidae 
55,Arctiidae 
56,Arctiidae 
57,Arctiidae 
58,Arctiidae 
59,Arctiidae 
60,Arctiidae 
61,Arctiidae 
62,Arctiidae 
63,Arctiidae 
64,Arctiidae 
65,Arctiidae 
66,Arctiidae 
67,Arctiidae 
68,Arctiidae 
69,American_military_personnel_of_World_War_II 
70,Windows_games 
71,Indian_films 
72,English-language_albums 
73,English-language_films 
74,English-language_television_programming 
75,English-language_television_programming 
76,English-language_television_programming 
77,Harvard_University_alumni 
78,Indian_films 
79,Insects_of_Europe 
80,Insects_of_Europe 
81,Insects_of_Europe 
82,Insects_of_Europe 
83,Harvard_University_alumni 
84,Insects_of_Europe 
85,Association_football_forwards,The_Football_League_players,English_footballers 
86,Association_football_midfielders,The_Football_League_players,English_footballers 
87,Association_football_defenders,The_Football_League_players,English_footballers 
88,Association_football_midfielders,The_Football_League_players,English_footballers 
89,Association_football_forwards,The_Football_League_players,English_footballers 
90,Association_football_defenders,The_Football_League_players,English_footballers 
91,Association_football_defenders,The_Football_League_players,English_footballers 
92,Association_football_midfielders 
93,Association_football_defenders,The_Football_League_players 
94,Harvard_University_alumni 
95,Association_football_defenders,The_Football_League_players,English_footballers 
96,Association_football_defenders,The_Football_League_players,English_footballers 
97,Association_football_defenders,The_Football_League_players 
98,The_Football_League_players,English_footballers 
99,Association_football_defenders,The_Football_League_players,English_footballers 
100,Association_football_forwards 
101,Association_football_forwards,The_Football_League_players,English_footballers 
102,Scottish_footballers,The_Football_League_players 
103,Association_football_goalkeepers 
104,Association_football_forwards 
105,Association_football_forwards 
106,Yale_University_alumni 
107,English-language_albums 
108,Association_football_midfielders 
109,Association_football_defenders,Italian_footballers 
110,Indian_films 
111,Association_football_midfielders,Scottish_footballers,The_Football_League_players,English_footballers 
112,English-language_films 
113,Fellows_of_the_Royal_Society 
